"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1960",88.5,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1961",91.9,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1962",95,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1963",100.6,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1964",106,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1965",112,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1966",116.6,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1967",123.2,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1968",130.2,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1969",136.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1970",141.6,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1971",143.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1972",148.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1973",157.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1974",172.5,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1975",179.5,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1976",181.9,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1977",195.9,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1978",191.1,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1979",197.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1980",206.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1981",207.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1982",213.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1983",201.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1984",208,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1985",220.1,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1986",221.5,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1987",231.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1988",240.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1989",254.3,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1990",259.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1991",261,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1992",265.1,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1993",269,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1994",274.9,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.3,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.1,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",323.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.6,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",341,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",349,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",352.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",366.6,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",371.9,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",377.3,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",387.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",389.9,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",396,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",389.1,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",387.1,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",386.5,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",382.6,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2014",373.3,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2015",379.3,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2016",392.4,
"AUS","AIREMISSION","CO","THND_TONNE","A","1990",5728.694,
"AUS","AIREMISSION","CO","THND_TONNE","A","1991",5751.474,
"AUS","AIREMISSION","CO","THND_TONNE","A","1992",5900.78,
"AUS","AIREMISSION","CO","THND_TONNE","A","1993",6126.293,
"AUS","AIREMISSION","CO","THND_TONNE","A","1994",6269.908,
"AUS","AIREMISSION","CO","THND_TONNE","A","1995",6117.161,
"AUS","AIREMISSION","CO","THND_TONNE","A","1996",6291.683,
"AUS","AIREMISSION","CO","THND_TONNE","A","1997",6307.795,
"AUS","AIREMISSION","CO","THND_TONNE","A","1998",5952.936,
"AUS","AIREMISSION","CO","THND_TONNE","A","1999",5817.997,
"AUS","AIREMISSION","CO","THND_TONNE","A","2000",5400.575,
"AUS","AIREMISSION","CO","THND_TONNE","A","2001",5133.594,
"AUS","AIREMISSION","CO","THND_TONNE","A","2002",5000.37,
"AUS","AIREMISSION","CO","THND_TONNE","A","2003",4511.981,
"AUS","AIREMISSION","CO","THND_TONNE","A","2004",4607.114,
"AUS","AIREMISSION","CO","THND_TONNE","A","2005",3986.285,
"AUS","AIREMISSION","CO","THND_TONNE","A","2006",3965.927,
"AUS","AIREMISSION","CO","THND_TONNE","A","2007",3401.849,
"AUS","AIREMISSION","CO","THND_TONNE","A","2008",3246.542,
"AUS","AIREMISSION","CO","THND_TONNE","A","2009",3184.181,
"AUS","AIREMISSION","CO","THND_TONNE","A","2010",3021.643,
"AUS","AIREMISSION","CO","THND_TONNE","A","2011",2970.66,
"AUS","AIREMISSION","CO","THND_TONNE","A","2012",2939.28,
"AUS","AIREMISSION","CO","THND_TONNE","A","2013",2877.908,
"AUS","AIREMISSION","CO","THND_TONNE","A","2014",2812.479,
"AUS","AIREMISSION","CO","THND_TONNE","A","2015",2777.083,
"AUS","AIREMISSION","CO","THND_TONNE","A","2016",2708.174,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1990",1620.789,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1991",1615.052,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1992",1660.932,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1993",1710.057,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1994",1718.422,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1995",1735.676,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1996",1790.983,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1997",1848.154,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1998",1894.672,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1999",1943.115,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2000",1947.257,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2001",2022.474,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2002",2118.542,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2003",2191.502,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2004",2253.34,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2005",2268.54,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2006",2326.228,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2007",2334.172,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2008",2393.308,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2009",2402.287,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2010",2493.727,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2011",2460.238,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2012",2646.795,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2013",2741.858,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2014",2780.269,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2015",2867.08,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2016",2944.234,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1990",1585.754,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1991",1570.777,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1992",1652.946,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1993",1743.161,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1994",1764.906,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1995",1674.096,
