Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2004,"Iraq ",103,0.35662,0.03278,0.12355,0.93000,0.01632
2004,"Ireland ",19,0.70576,0.22950,0.65637,0.96000,0.50091
2004,"Israel ",23,0.68054,0.27868,0.69111,0.93000,0.42050
2004,"Italy ",26,0.65979,0.22950,0.55212,0.93000,0.49726
2004,"Jamaica ",59,0.47925,0.04918,0.40926,0.83000,0.19850
2004,"Japan ",18,0.72599,0.27868,0.62934,0.94000,0.60862
2004,"Jordan ",68,0.43467,0.04918,0.34749,0.86000,0.09654
2004,"Kazakhstan ",69,0.43437,0.13114,0.32046,0.92000,0.06266
2004,"Kenya ",126,0.29591,0.06557,0.13899,0.73000,0.01875
2004,"Kiribati ",179,0.00000,0.00000,0.00000,0.00000,0.02587
2004,"Kuwait ",100,0.36491,0.01639,0.13513,0.73000,0.22959
2004,"Kyrgyzstan ",66,0.44682,0.21311,0.39382,0.91000,0.03666
2004,"Lao People's Democratic Republic ",144,0.23286,0.00000,0.05791,0.63000,0.01067
2004,"Latvia ",39,0.54859,0.16393,0.38996,0.95000,0.30583
2004,"Lebanon ",74,0.41634,0.08196,0.24324,0.83000,0.17580
2004,"Lesotho ",117,0.32496,0.01639,0.19305,0.77000,0.01185
2004,"Liberia ",179,0.00000,0.00000,0.00000,0.00000,0.00309
2004,Libya,179,0.00000,0.00000,0.00000,0.84000,0.05192
2004,Liechtenstein,155,0.19372,0.09836,0.20849,0.00000,0.37269
2004,"Lithuania ",43,0.53666,0.08196,0.43243,0.94000,0.23755
2004,Luxembourg,25,0.65998,0.14754,0.42857,0.90000,0.65137
2004,"Madagascar ",148,0.22140,0.08196,0.07722,0.58000,0.00698
2004,"Malawi ",135,0.26968,0.01639,0.15444,0.65000,0.00462
2004,Malaysia,42,0.54089,0.11475,0.49034,0.83000,0.30235
2004,Maldives,78,0.41059,0.03278,0.24324,0.91000,0.07852
2004,"Mali ",172,0.09555,0.00000,0.01158,0.27000,0.00509
2004,"Malta ",21,0.68765,0.45901,0.73745,0.87000,0.45551
2004,"Marshall Islands ",176,0.04468,0.01639,0.09266,0.00000,0.04140
2004,"Mauritania ",163,0.16962,0.03278,0.07335,0.41000,0.02551
2004,Afghanistan,171,0.13367,0.03278,0.13127,0.26800,0.00173
2004,"Mauritius ",51,0.50548,0.14754,0.54440,0.80000,0.17206
2004,"Mexico ",30,0.59566,0.77049,0.78378,0.86000,0.14319
2004,"Micronesia (Federated States of) ",175,0.04559,0.00000,0.09652,0.00000,0.04025
2004,"Monaco ",152,0.19696,0.03278,0.22007,0.00000,0.37081
