Country Name,Country Code,Unit Name,Unit Code,year,Agr. Raw Material Index  (PRAWM),All index  (PALLFNF),Aluminum (PALUM),APSP crude oil($/bbl) (POILAPSP),Bananas  (PBANSOP),Barley (PBARL),Beef  (PBEEF),Beverages index  (PBEVE),Brent Crude  (POILBRE),Cereal  index (PCERE),Coal index  (PCOAL),"Coal, Australia (PCOALAU)","Coal, South Africa  (PCOALSA)",Cobalt  (PCOBA),Cocoa (PCOCO),Coffee index  (PCOFF),"Coffee, Other Mild Arabica  (PCOFFOTM)","Coffee, Robustas  (PCOFFROB)",Copper  (PCOPP),Corn  (PMAIZMT),Cotton  (PCOTTIND),"Dairy Products, Milk (PMILK)",Diammonium phosphate (PDAP),Dubai Crude  (POILDUB),Energy index  (PNRG),Fertilizer (PFERT),Fish  (PSALM),Fish Meal  (PFSHMEAL),Food and beverage index (PFANDB),Food index  (PFOOD),Gold  (PGOLD),Groundnuts  (PGNUTS),"Hard Logs, Import Price Japan (PLOGSK)","Hard Sawnwood, Dark Red Meranti  (PSAWMAL)",Hardwood index  (PHARD),Hides  (PHIDE),Industrial Materials index  (PINDU),Iron Ore (PIORECR),Lamb  (PLAMB),Lead  (PLEAD),"Legumes, Chickpea (PCHANA)","LNG, Asia  (PNGASJP)",Meat Index  (PMEAT),Metal index  (PMETA),Molybdenum (PLMMODY),Natural gas index  (PNGAS),"Natural gas, EU  (PNGASEU)","Natural Gas, US Henry Hub Gas (PNGASUS)",Nickel  (PNICK),"Non-Citrus Fruit, Apple (PAPPLE)",Non-Fuel index  (PNFUEL),Oats (POATS),Olive Oil  (POLVOIL),Orange  (PORANG),Palladium (PPALLA),Palm Oil  (PPOIL),Platinum (PPLAT),Potassium Fertilizer (PPOTASH),Poultry  (PPOULT),Precious Metals Price Index (PPMETA),Propane (PPROPANE),Rapeseed Oil  (PROIL),"Rice, Thailand  (PRICENPQ)",Rubber  (PRUBB),Seafood index  (PSEAF),Shrimp  (PSHRI),Silver (PSILVER),Soft Logs  (PLOGORE),"Soft Sawnwood, Average of Softwoods,  (PSAWORE)",Softwood index  (PSOFT),Sorghum  (PSORG),Soybean Meal  (PSMEA),Soybeans  (PSOYB),Soybeans Oil  (PSOIL),Sugar index  (PSUGA),"Sugar, No. 11, World  (PSUGAISA)","Sugar, No. 16, US  (PSUGAUSA)",Sunflower Oil  (PSUNO),Swine  (PPORK),"Tea, Kenyan  (PTEA)",Timber index  (PTIMB),Tin  (PTIN),Uranium  (PURAN),Urea (PUREA),Vegetable oil index  (PVOIL),"Vegetables, Tomato (PTOMATO)",Wheat  (PWHEAMT),Wool index  (PWOOL),"Wool, Coarse  (PWOOLC)","Wool, Fine  (PWOOLF)",WTI Crude  (POILWTI),Zinc  (PZINC)
World,1,Index,IX,1990,74.13609317,,102.2016255,,53.95387596,81.71599332,65.24201775,54.23155421,53.83011635,80.11020035,53.81693892,56.60051975,51.03335809,39.65173169,43.85636376,56.25643994,54.17300024,58.33987963,54.67132043,68.6339273,111.2450013,,49.47050372,50.27133391,,52.86224653,82.66816937,45.92009035,,,30.72130729,59.25386094,58.41630351,69.986764,66.72764916,124.5020262,,23.99035985,132.6167905,43.36637388,,,95.2654593,,,,46.74578516,,92.3797245,,,66.97969359,80.74679507,99.04283646,18.74103362,37.43214274,47.80551251,39.95588734,44.0483394,30.91961873,,52.13041794,69.7118626,52.65815412,87.81309643,96.91924228,28.25367686,70.91955322,63.43485867,65.10752771,66.71147925,54.94149358,60.4070393,68.24310405,70.47399928,68.95423592,84.15186962,59.77530687,161.1073106,70.69791145,65.83161627,33.93255501,36.76583676,63.00951824,55.23474088,,94.6382569,64.84162966,42.28866769,87.39459163,56.71900611,72.62845921
World,1,Index,IX,1990Q1,73.49227311,,94.52377643,,58.96004281,74.79785786,65.54877554,51.19545642,45.06496227,87.42830265,51.17252847,54.22234665,48.12271029,30.5275121,36.29333153,53.9092351,51.40957835,56.40889184,50.33112838,67.41825412,103.3320578,,43.38171417,40.54687424,,49.08192383,76.8634305,46.1585292,,,32.56866662,46.04372912,55.2391048,76.30148079,70.36872623,126.3480461,,23.99035985,124.8516447,45.44674553,,,86.78677409,,,,39.73966231,,80.94342587,,,72.42270269,74.99151188,114.404624,21.80722579,35.98996127,51.0510924,39.70139125,43.90416834,32.87006815,,51.74718357,74.26202112,51.01349661,82.18013601,91.59031721,30.4335988,67.62273934,62.89772649,63.95366573,65.47324283,53.10807303,58.50053727,62.14942386,81.40250768,81.13019742,83.85330012,59.90307334,135.161565,76.17171634,66.82077914,35.34971314,33.4778351,58.13484349,53.38830047,,112.9843117,72.2517329,48.65249632,95.85096948,50.50171932,69.44261574
World,1,Index,IX,1990M1,72.85508461,,95.25104224,,58.82703273,77.26117425,70.87774473,49.20388,48.24334752,88.48956359,51.17252847,54.22234665,48.12271029,29.96461408,34.41410248,49.84053009,46.08023432,53.60082587,48.59504591,66.5116609,101.3288545,,42.3600088,42.60816869,,48.83838112,72.90192561,45.96970598,,,32.82911169,48.06489982,56.8706778,75.23881359,70.0649604,125.1376302,,23.99035985,122.4980087,37.87526415,,,93.05573433,,,,39.73966231,,73.53692871,,,72.83042071,74.71929643,113.6985153,22.08485101,36.03301147,50.4479152,39.70139125,42.92489321,33.09776354,,53.64672831,71.08549536,50.6554744,77.96546491,86.92756037,30.68475561,66.49012313,62.67314338,63.52615666,65.37889883,54.63273181,57.85043749,58.0530034,78.77966537,78.26418272,83.41900925,58.23668591,149.2513409,87.99722248,66.44857522,36.75748643,33.98126119,58.13657916,53.3352224,,117.2607858,72.88421191,49.2683507,96.50007311,53.11587153,61.91461513
World,1,Index,IX,1990M2,73.44965795,,90.63809909,,64.33365001,75.51904002,62.54479435,49.94777734,45.24658428,87.49371818,51.17252847,54.22234665,48.12271029,30.08242933,35.3479525,52.73972367,51.05105658,54.42839076,48.45918457,66.75889835,102.3528946,,41.73033299,41.22588888,,49.02155481,79.09777244,47.24642835,,,33.41885465,45.80720914,55.79916363,77.02843554,71.0486705,125.1106054,,23.99035985,127.1724492,41.73243391,,,83.451547,,,,39.73966231,,72.71359858,,,69.97275953,76.73082536,115.2821072,22.08883968,34.99980684,52.31754815,39.70139125,43.6103858,33.7011457,,51.37652092,77.26684278,51.9309247,84.08879363,92.92253734,30.92920556,66.354121,62.65880659,63.48463027,64.67133902,52.05141,57.47050905,60.83490088,80.95032859,80.74438977,82.80377804,60.26085731,128.1918894,73.51019288,66.86526264,34.32687413,33.22612206,58.86035745,52.69965638,,112.3856036,72.03536502,48.65249632,95.41823373,51.17260794,66.69936128
World,1,Index,IX,1990M3,74.17207676,,97.68218795,,53.71944569,71.6133593,63.22378754,54.43471192,41.70495501,86.30162617,51.17252847,54.22234665,48.12271029,31.5354929,39.1179396,59.14745153,57.09744414,61.19745891,53.93915465,68.98420311,106.3144242,,46.05480072,37.80656516,,49.38583555,78.59059346,45.25945328,,,31.45803352,44.2590784,53.04747298,76.63719323,69.9925478,128.7959027,,23.99035985,124.8844763,56.73253852,,,83.85304094,,,,39.73966231,,96.57975033,,,74.46492782,73.52441385,114.2332494,21.24798668,36.93706552,50.38781385,39.70139125,45.17722601,31.8112952,,50.2183015,74.43372521,50.45409074,84.48614949,94.92085393,29.68683524,70.02397388,63.36122951,64.85021028,66.36949066,52.64007729,60.18066527,67.56036731,84.47752909,84.38201976,85.33711306,61.21167679,128.0414648,67.00773367,67.14849957,34.96477888,33.22612206,57.40759385,54.13002263,,109.3065457,71.83562177,48.03664194,95.63460161,47.21667848,79.7138708
World,1,Index,IX,1990Q2,75.66816388,,95.97830805,,53.46007604,74.98498198,63.2593141,55.09130094,36.23359183,85.19493352,53.52587414,56.60051975,50.45122853,32.09839842,47.37271259,56.89330115,55.50330868,58.28329362,54.84492574,75.33042433,116.1733304,,49.48598421,33.24746686,,49.36379745,79.85793159,46.68506627,,,29.26598579,42.5826782,56.41874639,69.34766075,65.70590279,133.8040955,,23.99035985,133.9340866,44.58959669,,,100.41606,,,,48.46860098,,90.52810021,,,76.86247214,75.75416759,114.3563767,19.6832268,35.30115819,48.92217045,39.29419749,44.38292507,29.76819178,,52.88228727,67.9089696,51.65793182,87.09956781,99.91673605,29.33535333,71.85872403,64.76693886,66.35180106,70.94507153,55.54668762,61.57795766,71.96249079,79.34574065,78.68673496,85.27679194,60.86246952,179.8778002,65.32848014,66.06312668,34.96478013,36.49839165,55.84499732,55.4023299,,103.405018,67.78722675,44.91631306,90.65814044,41.1555468,82.55282018
World,1,Index,IX,1990M4,76.02207726,,95.1263681,,58.27836615,70.30929519,62.92076221,56.29206415,37.43683767,88.33212136,51.17252847,54.22234665,48.12271029,32.32093793,46.20828233,58.92373154,56.95769001,60.88977308,55.16194476,74.42382472,111.663834,,50.26502975,34.07198464,,49.95536591,78.88382714,45.64146048,,,29.98317742,42.34170957,52.89804215,74.42540163,68.36167263,134.992032,,23.99035985,132.580293,44.73245483,,,93.83249652,,,,48.46860098,,93.16136702,,,78.85849204,74.04788191,116.460633,20.7061454,34.48320452,48.47027917,39.70139125,44.03473836,30.42205294,,52.16853861,71.08549536,51.03139465,85.75570195,97.91841946,29.58224563,69.60802182,67.28123169,67.80121948,70.47336049,54.56347683,60.83920791,69.08888241,84.20630184,83.99621211,86.09710942,60.36315508,159.6607269,67.77661484,68.05170547,35.63614008,32.6597677,56.45916907,54.46924617,,111.3592545,71.85224639,47.42078755,96.28370524,42.63612858,80.67082003
World,1,Index,IX,1990M5,75.41895927,,95.18870517,,49.32013733,72.6168388,63.12276911,55.92082344,37.0962964,85.47943659,54.12041741,57.7896063,50.45122853,32.00676891,49.90909536,57.15220053,55.91854684,58.38585422,56.29416869,76.15460187,115.342409,,48.29588547,34.02348359,,48.93538973,81.22711105,46.74579588,,,29.575077,42.73374699,56.73582857,66.57135035,63.80092518,134.2630635,,23.99035985,134.1238295,44.19673681,,,101.9955754,,,,48.46860098,,90.64968904,,,79.65740891,75.93634834,115.8279994,19.51295328,36.29131263,49.52521917,39.09060061,44.00209585,30.0772831,,54.11147602,66.96459708,52.02490476,87.97444565,99.91673605,29.66438837,71.30913305,65.5075854,66.80410713,71.18092705,57.10702321,62.94781076,73.06302166,81.05845549,80.57902861,85.37329744,61.57735275,185.3532576,65.06638754,65.46188078,35.26644592,35.30275469,55.66550005,56.57550238,,104.1747789,69.47875049,43.972003,94.98549798,42.21971496,84.9292441
World,1,Index,IX,1990M6,75.5634551,,97.61985088,,52.78172464,82.02881194,63.73441097,53.06101523,34.16764142,81.77324262,55.28467653,57.7896063,52.77974677,31.96748842,46.0007601,54.60397138,53.63368919,55.57425358,53.07866377,75.41284639,121.5137483,,49.89703739,31.64693235,,49.20063671,79.46285658,47.66794244,,,28.23970296,42.67257803,59.62236845,67.04623028,64.95511055,132.1571911,,23.99035985,135.0981372,44.83959844,,,105.4201081,,,,48.46860098,,87.77324455,,,72.07151548,77.2782725,110.7804978,18.83058172,35.12895742,48.771013,39.09060061,45.111941,28.80523932,,52.36684719,65.67681637,51.91749605,87.56855583,101.9150526,28.75942599,74.65901722,61.51199949,64.45007657,71.18092705,54.96956283,60.9468543,73.7355683,72.77246462,71.48496415,84.35996896,60.64690074,194.6194163,63.14243804,64.6757938,33.99175438,41.53265257,55.41032285,55.16224115,,94.68102056,62.03068336,43.35614862,80.7052181,38.61079686,82.05839641
World,1,Index,IX,1990Q3,74.43636458,,112.6223056,,56.38297253,85.25282866,67.11061829,54.59272729,60.15472462,74.94833787,55.28467653,57.7896063,52.77974677,43.50039743,46.12757924,56.87503374,55.86994692,57.88012057,60.02296713,68.48969467,114.2419795,,51.26627494,58.17700437,,53.45059261,83.79864775,51.92808991,,,30.62426947,55.49173825,62.22705854,65.91634735,64.87716521,124.3276697,,23.99035985,136.8460242,46.21460803,,,93.84134329,,,,44.10413165,,108.1063721,,,60.08225355,84.22451716,99.09766381,18.35183207,36.76486475,48.42789131,39.09060061,44.67670761,30.86810796,,51.89966624,66.53533684,53.57334453,86.49137201,91.25729768,28.60692211,71.35874437,63.35036703,65.14006796,66.79402744,55.67890167,61.76581116,73.58271679,64.56884209,62.37250987,84.33583223,57.78985881,152.6709946,63.73620446,65.02256759,32.59513325,42.22486345,63.91644279,55.92828895,,82.87796518,62.15377164,40.93378804,83.37375525,61.26678271,76.38049765
