
,YEAR,"2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ECONOMY","VARIABLE",
"Armenia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..",3.91,"..",".."
"Armenia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Australia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..",4.64,4.9783788091,"..",4.6602894307,"..","..","..",".."
"Australia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",10.05,7.0838952617,"..",6.7153202373,"..","..","..",".."
"Austria","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.02,"..",5.369216477,"..",3.71,3.79,3.71,3.74,3.78
"Austria","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",8.84,"..",6.8147012798,"..",5.34,5.51,5.35,5.45,5.3
"Azerbaijan","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..",1.42,1.68,"..","..",1.65,"..",2.16,".."
"Azerbaijan","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",2.38,"..","..","..","..",1.82,".."
"Belarus","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..","..","..",4.78
"Belarus","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",4.57
"Belgium","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.78,"..",4.9124202398,"..",4.9944609951,6.16,5.71,5.14,5.04
"Belgium","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",10.77,"..",7.6468194228,"..",7.1158020549,8.25,8.380000000000001,7.62,7.6
"Bermuda","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",2.86,2.71,2.77,"..","..","..","..","..",".."
"Bermuda","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",4.35,4.35,4.26,"..","..","..","..","..",".."
"Brazil","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",1.94,"..",2.99,2.1,"..","..","..","..",".."
"Brazil","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",12.28,5.0221509503,"..","..","..","..",".."
"Bulgaria","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..",2.99,3.33,3.59,3.74,3.97
"Bulgaria","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..",8.789999999999999,9.560000000000001,9.789999999999999,9.539999999999999,9.210000000000001
"Cameroon","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..",3.37,"..","..",".."
"Cameroon","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..",1.66,"..","..",".."
"Canada","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",3.78,3.7,5.42,3.75,4.5570890362,"..","..","..",".."
"Canada","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..",3.65,"..","..",7.6215752444,"..","..","..","..","..",".."
"Chile","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",1,"..","..","..","..","..","..","..",".."
"Chile","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",3,"..","..","..","..","..","..","..",".."
"China, Hong Kong SAR","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",3.64,"..",3.81,3.63,3.13,4.59,4.69,"..",".."
"China, Hong Kong SAR","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",5.22,"..","..",4.55,4.66,5.94,7.03,"..",".."
"Costa Rica","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..",4.7,"..",".."
"Costa Rica","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Croatia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..",1.91,2.97,2.78,3.1,3.09,2.97
"Croatia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..",3.04,6.85,7.05,8.220000000000001,7.57,7.54
"Cuba","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",2.82,2.65,"..","..","..","..",".."
"Cuba","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",5.49,4.11,"..","..","..","..",".."
"Cyprus","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",2.95,3.18,"..","..","..","..","..","..",".."
"Cyprus","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",7.92,"..","..","..","..","..","..",".."
"Czech Republic","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",4.02,"..",4.6754580886,"..",5.8454298327,4.43,4.32,4.42,4.44
"Czech Republic","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",9.380000000000001,"..",7.5439527016,"..",8.993286847,7.87,7.74,7.54,7.61
