"INDICATOR - Simple average of simple averages"
"ORIGIN - World"
"DUTY TYPE - Most favoured nation rate (MFN rate)"

,YEAR,"1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MARKET","PRODUCT CAT.",
"Afghanistan","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.3,"..",5.78,5.78,5.64,"..","..","..",5.81,5.81,"..","..","..",".."
"Afghanistan","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.08,"..",4.98,4.98,4.95,"..","..","..",5.05,5.05,"..","..","..",".."
"Afghanistan","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.32,"..",5.83,5.83,5.68,"..","..","..",5.86,5.87,"..","..","..",".."
"Afghanistan","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.46,"..",4.92,4.92,4.74,"..","..","..",4.75,4.75,"..","..","..",".."
"Afghanistan","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.64,"..",4.86,4.86,4.76,"..","..","..",4.89,4.89,"..","..","..",".."
"Afghanistan","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.13,"..",6.6,6.6,6.46,"..","..","..",6.73,6.74,"..","..","..",".."
"Albania","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..",16.12,"..","..",10.49,10.5,7.19,6.84,6.22,5.87,5.39,5.21,5,4.75,4.75,4.75,3.35,3.35,3.35,3.33,3.33,3.27
"Albania","Ores and metals","..","..","..","..","..","..","..","..","..",12.18,"..","..",8.27,8.27,5.14,4.66,4.25,2.46,2.46,2.47,2.46,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
"Albania","Manufactured goods","..","..","..","..","..","..","..","..","..",16.37,"..","..",10.64,10.65,7.32,6.99,6.36,6.1,5.59,5.4,5.17,4.99,4.99,4.99,3.49,3.49,3.49,3.48,3.48,3.41
"Albania","Chemical products","..","..","..","..","..","..","..","..","..",12.55,"..","..",7.76,7.76,3.96,3.01,2.54,2.12,1.96,1.76,1.76,1.71,1.71,1.72,1.59,1.59,1.59,1.59,1.59,1.55
"Albania","Machinery and transport equipment","..","..","..","..","..","..","..","..","..",8.960000000000001,"..","..",5.97,6.03,3.52,3.36,2.44,2.58,1.73,2.53,1.56,1.6,1.59,1.59,1.56,1.56,1.56,1.56,1.56,1.56
"Albania","Other manufactured goods","..","..","..","..","..","..","..","..","..",21.07,"..","..",13.78,13.78,10.29,10.11,9.529999999999999,9.17,8.67,8.060000000000001,8.060000000000001,7.76,7.76,7.76,5.11,5.11,5.11,5.08,5.08,4.96
"Algeria","Manufactured goods, ores and metals","..","..","..","..","..",24.27,"..","..","..",23.44,23.22,"..","..",21.64,18.58,18.09,"..",18.07,18.07,17.81,17.81,17.81,"..","..","..","..",17.75,17.72,17.72,17.83
"Algeria","Ores and metals","..","..","..","..","..",12.14,"..","..","..",11.48,11.44,"..","..",11.4,12.33,11.89,"..",11.89,11.89,11.8,11.8,11.8,"..","..","..","..",11.82,11.82,11.82,11.9
"Algeria","Manufactured goods","..","..","..","..","..",25.09,"..","..","..",24.22,23.99,"..","..",22.31,19.01,18.51,"..",18.49,18.49,18.21,18.21,18.21,"..","..","..","..",18.15,18.11,18.11,18.23
"Algeria","Chemical products","..","..","..","..","..",13.52,"..","..","..",15.88,15.5,"..","..",14.1,15.69,14.3,"..",14.27,14.27,14.35,14.34,14.34,"..","..","..","..",14.34,14.34,14.34,14.39
"Algeria","Machinery and transport equipment","..","..","..","..","..",16.78,"..","..","..",17.29,17.14,"..","..",16.85,12.24,11.88,"..",11.8,11.8,11.34,11.34,11.34,"..","..","..","..",11.31,11.31,11.31,11.58
"Algeria","Other manufactured goods","..","..","..","..","..",33.02,"..","..","..",30.47,30.27,"..","..",27.88,23.2,22.99,"..",23,23,22.72,22.71,22.71,"..","..","..","..",22.66,22.61,22.61,22.68
"Angola","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7.98,"..",7.97,6.36,6.36,"..",6.42,6.4,6.43,6.43,6.41,6.41,8.49,8.49,8.48,".."
"Angola","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9.539999999999999,"..",9.75,7.29,7.29,"..",7.34,7.34,7.16,7.16,7.16,7.16,10.08,10.08,10.08,".."
"Angola","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7.88,"..",7.86,6.29,6.29,"..",6.36,6.34,6.38,6.38,6.36,6.36,8.380000000000001,8.380000000000001,8.380000000000001,".."
"Angola","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4.8,"..",4.72,4.85,4.85,"..",4.89,4.92,4.84,4.84,4.81,4.82,4.86,4.86,4.86,".."
"Angola","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3.76,"..",3.85,3.04,3.04,"..",2.91,2.89,3.03,3.03,3.01,3.01,4.45,4.45,4.45,".."
"Angola","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10.88,"..",10.82,8.279999999999999,8.279999999999999,"..",8.390000000000001,8.359999999999999,8.42,8.42,8.390000000000001,8.390000000000001,11.52,11.52,11.51,".."
"Anguilla","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",17.4,17.4,17.18,17.75,17.75,17.75
"Anguilla","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15.73,15.73,15.54,15.75,15.75,15.75
"Anguilla","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",17.51,17.51,17.3,17.88,17.88,17.88
"Anguilla","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14.92,14.92,14.88,14.91,14.91,14.91
"Anguilla","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",21.58,21.58,20.72,22.66,22.66,22.66
"Anguilla","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",16.81,16.81,16.75,17.03,17.03,17.03
"Antigua and Barbuda","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",20.7,"..","..",17.26,10.08,8.57,8.58,8.57,8.73,8.73,8.66,8.66,8.66,8.73,8.76,8.76,8.74,8.810000000000001,8.59,8.6,8.6,8.6
"Antigua and Barbuda","Ores and metals","..","..","..","..","..","..","..","..",16.01,"..","..",12.76,4.24,3.89,3.89,3.89,3.87,3.87,3.87,3.87,3.87,3.87,5.34,5.34,5.54,3.93,3.93,3.93,3.93,3.93
"Antigua and Barbuda","Manufactured goods","..","..","..","..","..","..","..","..",20.76,"..","..",17.32,10.46,8.890000000000001,8.890000000000001,8.890000000000001,9.050000000000001,9.050000000000001,8.970000000000001,8.970000000000001,8.970000000000001,9.050000000000001,8.99,8.99,8.960000000000001,9.130000000000001,8.9,8.91,8.91,8.91
"Antigua and Barbuda","Chemical products","..","..","..","..","..","..","..","..",14.94,"..","..",11.56,6.55,5.77,5.77,5.77,6.1,6.1,5.76,5.76,5.76,6.1,6.09,6.09,6.18,6.19,6.05,6.07,6.07,6.07
"Antigua and Barbuda","Machinery and transport equipment","..","..","..","..","..","..","..","..",20.61,"..","..",17.86,8.859999999999999,7.95,7.96,7.95,7.92,7.92,7.92,7.92,7.92,7.92,7.94,7.94,7.89,7.98,7.86,7.87,7.87,7.87
"Antigua and Barbuda","Other manufactured goods","..","..","..","..","..","..","..","..",21.75,"..","..",18.13,12.67,10.56,10.56,10.56,10.68,10.68,10.67,10.67,10.67,10.68,10.59,10.59,10.54,10.77,10.49,10.5,10.5,10.5
